日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/05/28,"55,443,809","5,453,226,906",98.30,98.90,98.00,98.30,+0.90,"18,925"
104/05/29,"86,602,128","8,568,091,928",98.70,99.30,98.30,99.10,+0.80,"18,226"
104/06/01,"36,037,128","3,525,752,478",99.10,99.10,97.30,97.30,-1.80,"14,942"
104/06/02,"35,901,307","3,510,162,846",97.00,98.30,96.70,97.80,+0.50,"12,391"
104/06/03,"24,318,557","2,365,790,919",97.50,98.00,96.80,97.00,-0.80,"10,290"
104/06/04,"58,763,661","5,614,439,163",97.00,97.10,94.40,94.50,-2.50,"22,209"
104/06/05,"42,210,183","3,981,756,910",94.00,95.40,93.50,94.30,-0.20,"15,613"
104/06/08,"30,900,192","2,926,560,889",94.70,95.40,93.80,94.90,+0.60,"12,744"
104/06/09,"28,293,611","2,657,562,632",94.90,95.00,93.10,93.20,-1.70,"12,540"
104/06/10,"36,906,458","3,512,862,247",95.00,95.60,94.50,95.60,+2.40,"12,595"
104/06/11,"37,788,739","3,602,137,890",96.30,96.70,94.50,95.80,+0.20,"13,961"
104/06/12,"15,514,321","1,477,377,095",95.80,95.80,94.90,95.00,-0.80,"6,454"
104/06/15,"19,062,384","1,799,179,136",94.50,95.10,94.00,94.00,-1.00,"9,241"
104/06/16,"23,270,696","2,192,647,188",94.90,94.90,93.60,94.80,+0.80,"8,559"
104/06/17,"26,416,295","2,493,995,347",95.00,95.00,93.90,94.40,-0.40,"9,822"
104/06/18,"25,733,930","2,433,827,978",94.60,95.00,94.00,94.60,+0.20,"8,447"
104/06/22,"39,619,718","3,831,081,444",95.50,97.30,95.50,97.20,+2.60,"16,259"
104/06/23,"31,625,072","3,087,370,084",97.70,98.30,97.00,97.10,-0.10,"12,205"
104/06/24,"23,036,996","2,244,628,166",96.90,97.70,96.90,97.60,+0.50,"8,091"
104/06/25,"77,040,097","7,635,548,061",98.80,99.70,98.40,99.00,+1.40,"29,996"
104/06/26,"44,332,101","4,384,863,495",99.30,99.30,98.50,99.20,+0.20,"13,278"
104/06/29,"36,806,190","3,585,039,948",98.10,98.10,96.60,96.90,-2.30,"14,513"
104/06/30,"26,938,820","2,610,964,540",96.90,97.40,96.50,97.00,+0.10,"9,456"
104/07/01,"25,391,975","2,484,753,850",97.40,98.30,97.00,98.00,+1.00,"10,089"
104/07/02,"20,746,163","2,033,316,903",97.90,98.30,97.60,98.00, 0.00,"6,645"
104/07/03,"12,800,721","1,246,066,258",97.70,97.70,97.00,97.30,-0.70,"6,327"
104/07/06,"23,085,985","2,225,851,983",96.30,97.30,95.90,96.30,-1.00,"8,648"
104/07/07,"16,724,595","1,628,259,115",97.50,97.80,96.90,97.30,+1.00,"6,289"
104/07/08,"50,886,713","4,850,678,809",97.30,97.40,94.00,94.50,-2.80,"19,227"
104/07/09,"42,804,900","3,977,903,672",91.50,94.30,91.50,93.40,-1.10,"19,170"
104/07/13,"31,128,407","2,965,898,730",94.50,96.20,94.40,96.20,+2.80,"13,377"
104/07/14,"36,958,710","3,535,155,650",96.80,97.20,94.70,94.70,-1.50,"14,932"
104/07/15,"23,337,769","2,221,229,951",95.90,96.00,94.60,95.70,+1.00,"10,106"
104/07/16,"17,443,384","1,673,028,310",96.50,96.50,95.30,96.00,+0.30,"7,386"
104/07/17,"19,974,668","1,908,646,515",96.00,96.10,95.10,95.10,-0.90,"8,149"
104/07/20,"15,708,003","1,499,989,072",95.90,96.10,94.90,95.10, 0.00,"6,875"
104/07/21,"15,810,908","1,513,555,268",95.80,96.30,95.10,96.30,+1.20,"7,637"
104/07/22,"28,949,465","2,750,387,594",95.00,95.80,94.70,94.80,-1.50,"11,907"
104/07/23,"82,507,789","7,600,563,520",93.50,94.30,90.50,90.50,-4.30,"34,916"
104/07/24,"42,402,401","3,833,691,082",90.70,91.50,89.50,90.50, 0.00,"15,928"
104/07/27,"26,314,107","2,377,556,457",90.40,91.10,90.00,90.10,-0.40,"10,562"
104/07/28,"27,776,104","2,508,598,179",90.10,91.00,90.00,90.00,-0.10,"11,953"
104/07/29,"50,764,049","4,535,532,089",90.00,91.50,87.50,91.50,+1.50,"22,001"
104/07/30,"29,245,290","2,667,853,099",91.50,92.10,90.50,90.90,-0.60,"9,739"
104/07/31,"27,876,955","2,529,515,615",91.10,91.30,90.30,90.70,-0.20,"9,692"
104/08/03,"35,313,856","3,153,226,088",91.00,91.00,88.30,89.20,-1.50,"13,580"
104/08/04,"32,607,334","2,908,040,828",89.20,90.30,88.10,89.50,+0.30,"14,198"
104/08/05,"30,252,453","2,692,998,724",88.60,89.50,88.60,89.00,-0.50,"9,980"
104/08/06,"31,805,977","2,817,623,284",89.00,89.60,88.10,88.50,-0.50,"12,057"
104/08/07,"21,997,753","1,944,425,995",88.20,88.90,87.60,88.50, 0.00,"8,242"
104/08/10,"22,352,101","1,975,040,389",88.50,89.20,87.80,88.50, 0.00,"9,145"
104/08/11,"37,973,943","3,386,727,039",90.00,90.50,88.40,88.50, 0.00,"14,797"
104/08/12,"42,743,907","3,719,183,409",87.50,88.20,86.50,86.50,-2.00,"18,064"
104/08/13,"29,946,660","2,601,705,982",86.50,87.50,86.40,87.40,+0.90,"13,043"
104/08/14,"37,359,791","3,315,900,319",88.10,89.40,88.10,88.70,+1.30,"17,604"
104/08/17,"18,499,544","1,635,590,700",89.00,89.00,88.00,88.20,-0.50,"8,098"
104/08/18,"18,300,636","1,622,453,875",89.00,89.30,88.20,88.30,+0.10,"7,490"
104/08/19,"30,057,401","2,648,943,478",88.30,88.80,87.60,88.10,-0.20,"11,903"
104/08/20,"27,616,200","2,419,306,775",87.70,88.40,87.10,87.40,-0.70,"12,642"
104/08/21,"46,004,256","3,963,365,613",86.30,87.20,85.50,85.50,-1.90,"18,783"
104/08/24,"88,531,178","7,213,060,618",83.00,84.90,77.90,81.60,-3.90,"37,966"
104/08/25,"60,830,475","5,087,320,875",81.00,85.00,81.00,85.00,+3.40,"24,890"
104/08/26,"58,576,915","4,911,008,860",84.00,84.70,83.10,83.50,-1.50,"20,834"
104/08/27,"68,806,376","5,813,258,360",84.00,85.30,84.00,84.60,+1.10,"22,370"
104/08/28,"65,098,024","5,730,492,576",86.90,89.20,86.20,88.60,+4.00,"27,229"
104/08/31,"62,543,286","5,657,867,812",89.50,92.50,88.80,92.50,+3.90,"19,711"
104/09/01,"60,905,215","5,493,452,850",91.50,91.50,89.40,89.80,-2.70,"24,010"
104/09/02,"105,710,813","9,552,235,467",89.40,91.20,89.10,90.60,+0.80,"36,008"
104/09/03,"103,079,812","8,666,817,257",84.00,84.70,83.50,83.90,X0.00,"37,961"
104/09/04,"43,336,825","3,618,908,584",84.00,84.30,83.00,83.00,-0.90,"19,685"
104/09/07,"18,975,858","1,575,915,960",82.90,83.70,82.60,82.90,-0.10,"9,153"
104/09/08,"14,478,807","1,201,540,368",82.90,83.40,82.70,82.80,-0.10,"7,264"
104/09/09,"42,327,296","3,592,520,886",83.70,85.50,83.70,85.50,+2.70,"19,784"
104/09/10,"30,898,871","2,614,101,735",85.00,85.00,84.30,84.60,-0.90,"12,917"
104/09/11,"27,669,388","2,340,522,880",84.60,84.90,84.20,84.70,+0.10,"10,888"
104/09/14,"20,557,577","1,743,527,313",85.00,85.40,84.30,85.10,+0.40,"8,965"
104/09/15,"23,573,954","1,996,180,443",85.30,85.40,84.30,84.70,-0.40,"8,986"
104/09/16,"24,894,526","2,112,506,820",85.20,85.20,84.50,85.00,+0.30,"10,137"
104/09/17,"33,680,144","2,886,245,192",85.70,86.40,85.30,85.50,+0.50,"12,134"
104/09/18,"37,019,682","3,166,371,052",85.50,85.90,85.00,85.50, 0.00,"8,624"
104/09/21,"29,324,451","2,470,567,196",84.70,84.90,84.00,84.20,-1.30,"10,188"
104/09/22,"18,616,167","1,580,477,473",84.50,85.10,84.50,85.10,+0.90,"9,043"
104/09/23,"29,795,360","2,505,805,328",84.40,84.60,83.90,84.10,-1.00,"9,756"
104/09/24,"21,977,183","1,837,981,063",84.40,84.60,82.70,83.60,-0.50,"9,701"
104/09/25,"19,030,530","1,599,940,034",84.00,84.70,83.50,84.30,+0.70,"8,269"
104/09/30,"49,123,446","4,167,102,069",83.90,85.60,83.60,85.60,+1.30,"12,721"
104/10/01,"27,903,815","2,387,878,433",84.90,86.00,84.70,85.90,+0.30,"11,699"
104/10/02,"23,535,372","2,021,793,242",86.20,86.30,85.10,85.70,-0.20,"9,129"
104/10/05,"21,821,642","1,871,427,412",86.20,86.20,84.90,86.00,+0.30,"8,816"
104/10/06,"25,192,013","2,176,956,808",86.50,86.90,86.10,86.40,+0.40,"9,852"
104/10/07,"27,500,089","2,379,117,043",86.20,86.90,86.00,86.90,+0.50,"10,749"
104/10/08,"21,720,497","1,885,962,339",87.40,87.50,86.40,86.70,-0.20,"8,229"
104/10/12,"46,199,571","4,067,572,211",87.80,88.50,87.60,88.10,+1.40,"17,972"
104/10/13,"29,718,357","2,599,505,768",88.20,88.30,87.00,87.50,-0.60,"11,739"
104/10/14,"30,642,535","2,647,842,176",87.50,87.50,86.00,86.10,-1.40,"16,384"
104/10/15,"41,667,161","3,642,002,507",87.30,88.00,86.70,86.70,+0.60,"15,118"
104/10/16,"23,105,919","2,022,519,327",87.60,87.80,87.20,87.80,+1.10,"9,568"
104/10/19,"26,008,511","2,271,699,800",88.20,88.20,86.90,87.70,-0.10,"9,885"
104/10/20,"21,951,718","1,915,072,574",87.90,88.00,86.90,87.10,-0.60,"6,958"
104/10/21,"18,577,477","1,611,727,259",87.50,87.80,86.30,86.40,-0.70,"8,581"
104/10/22,"23,161,530","1,996,815,157",86.20,86.60,85.90,86.60,+0.20,"9,285"
104/10/23,"26,950,209","2,356,346,543",87.80,87.80,87.00,87.40,+0.80,"12,222"
104/10/26,"36,416,731","3,221,857,316",88.60,88.70,88.20,88.70,+1.30,"16,348"
104/10/27,"36,848,013","3,253,418,621",89.00,89.00,87.50,88.60,-0.10,"12,211"
104/10/28,"20,203,941","1,774,946,308",88.30,88.50,87.50,88.00,-0.60,"9,525"
104/10/29,"29,809,501","2,598,306,587",88.00,88.30,86.60,86.80,-1.20,"11,766"
104/10/30,"25,674,963","2,224,536,565",87.00,87.40,86.00,86.60,-0.20,"9,787"
104/11/02,"16,294,994","1,416,776,084",87.20,87.40,86.20,87.40,+0.80,"6,960"
104/11/03,"25,996,506","2,277,591,757",87.60,88.00,86.80,87.80,+0.40,"13,545"
104/11/04,"42,234,301","3,741,702,432",88.20,89.00,87.80,88.70,+0.90,"19,101"
104/11/05,"20,265,895","1,790,940,919",88.70,88.70,88.20,88.20,-0.50,"13,262"
104/11/06,"36,227,081","3,153,063,823",87.90,88.50,86.50,86.60,-1.60,"15,412"
104/11/09,"22,494,042","1,938,429,559",86.50,86.90,85.80,86.00,-0.60,"11,781"
104/11/10,"39,128,428","3,319,752,285",85.10,85.40,84.50,84.50,-1.50,"18,400"
104/11/11,"47,016,010","3,939,712,288",84.00,85.00,83.00,83.40,-1.10,"20,716"
104/11/12,"22,272,337","1,864,353,620",83.50,84.30,83.40,83.90,+0.50,"10,651"
104/11/13,"27,333,176","2,286,155,384",83.50,84.70,83.20,83.60,-0.30,"11,334"
104/11/16,"35,694,405","2,957,283,774",82.70,83.50,82.60,82.80,-0.80,"15,014"
104/11/17,"37,553,065","3,191,648,825",84.50,85.40,84.20,85.00,+2.20,"18,056"
104/11/18,"26,482,727","2,247,669,282",85.50,85.50,84.20,84.80,-0.20,"12,023"
104/11/19,"18,369,447","1,564,077,333",85.50,85.60,84.60,85.50,+0.70,"9,477"
104/11/20,"26,810,518","2,305,776,448",86.30,86.30,85.60,86.00,+0.50,"11,731"
104/11/23,"17,479,587","1,497,502,967",86.10,86.30,85.20,85.50,-0.50,"7,144"
104/11/24,"18,971,412","1,608,369,240",85.20,85.50,84.30,84.30,-1.20,"9,086"
104/11/25,"17,383,169","1,459,511,967",84.00,84.60,83.70,84.30, 0.00,"9,261"
104/11/26,"18,798,540","1,604,888,039",85.00,86.00,84.80,85.40,+1.10,"8,419"
104/11/27,"14,448,433","1,224,717,105",85.10,85.40,84.30,85.00,-0.40,"5,479"
104/11/30,"71,528,936","6,001,811,342",83.30,84.80,83.00,84.00,-1.00,"16,422"
104/12/01,"38,201,571","3,259,679,297",85.10,86.00,84.50,86.00,+2.00,"13,875"
104/12/02,"20,895,883","1,788,756,127",86.10,86.20,85.10,85.70,-0.30,"9,530"
104/12/03,"14,450,070","1,226,437,450",84.60,85.30,84.60,84.70,-1.00,"7,620"
104/12/04,"20,520,063","1,725,826,810",84.20,84.40,83.80,84.20,-0.50,"8,460"
104/12/07,"19,528,912","1,662,521,802",84.60,85.80,84.60,84.70,+0.50,"8,446"
104/12/08,"24,909,273","2,094,142,510",84.90,84.90,83.90,83.90,-0.80,"9,893"
104/12/09,"20,179,456","1,685,331,013",83.90,84.30,83.20,83.30,-0.60,"8,699"
104/12/10,"29,670,293","2,456,073,460",83.00,83.30,82.50,82.90,-0.40,"12,323"
104/12/11,"37,343,349","3,109,952,200",83.90,84.00,82.80,83.10,+0.20,"12,488"
104/12/14,"41,451,457","3,352,411,411",81.00,81.30,80.20,80.80,-2.30,"18,929"
104/12/15,"51,309,424","4,110,217,407",80.90,81.30,79.60,80.00,-0.80,"23,177"
104/12/16,"30,970,728","2,485,320,206",81.50,81.50,79.80,80.20,+0.20,"14,228"
104/12/17,"27,078,038","2,202,248,163",80.50,82.40,80.20,82.40,+2.20,"12,418"
104/12/18,"29,887,332","2,427,897,690",81.40,81.70,80.90,81.20,-1.20,"9,592"
104/12/21,"17,792,188","1,441,538,823",80.50,82.00,80.30,81.40,+0.20,"7,334"
104/12/22,"18,412,580","1,488,918,285",81.40,81.70,80.50,80.70,-0.70,"8,015"
104/12/23,"18,028,243","1,466,742,122",81.00,81.70,80.80,81.30,+0.60,"7,304"
104/12/24,"11,630,742","949,895,215",81.70,81.90,81.40,81.60,+0.30,"5,579"
104/12/25,"7,989,881","650,326,356",81.50,81.80,81.10,81.60, 0.00,"4,063"
104/12/28,"12,508,611","1,017,461,666",81.50,81.80,81.00,81.00,-0.60,"5,826"
104/12/29,"18,037,137","1,457,934,197",81.00,81.20,80.60,80.70,-0.30,"6,638"
104/12/30,"14,245,596","1,152,238,876",81.10,81.20,80.60,80.90,+0.20,"5,427"
104/12/31,"13,764,229","1,112,123,549",80.90,81.20,80.40,80.80,-0.10,"4,554"
