日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/01/05,"25,369,082","2,210,737,580",87.80,87.80,86.90,87.20,-0.70,"12,695"
104/01/06,"65,967,122","5,611,395,850",86.00,86.00,84.50,84.50,-2.70,"33,773"
104/01/07,"33,872,596","2,884,075,500",84.30,85.80,84.30,85.20,+0.70,"15,794"
104/01/08,"31,001,877","2,683,506,287",85.90,87.00,85.70,86.90,+1.70,"14,395"
104/01/09,"22,801,642","1,984,878,503",87.30,87.80,86.50,86.50,-0.40,"11,266"
104/01/12,"23,027,874","1,986,395,964",86.50,87.20,85.70,85.70,-0.80,"13,167"
104/01/13,"26,434,792","2,268,498,342",85.00,86.30,85.00,86.30,+0.60,"11,160"
104/01/14,"22,512,063","1,927,952,125",86.50,86.50,85.20,85.30,-1.00,"10,834"
104/01/15,"32,395,438","2,755,105,791",85.30,85.70,84.70,84.80,-0.50,"14,919"
104/01/16,"41,931,979","3,535,425,223",84.80,84.90,84.00,84.10,-0.70,"20,439"
104/01/19,"30,077,553","2,526,370,052",84.20,84.90,83.00,83.70,-0.40,"16,469"
104/01/20,"27,837,373","2,350,704,232",83.70,85.00,83.30,84.70,+1.00,"13,963"
104/01/21,"31,835,104","2,708,110,544",85.20,85.50,84.70,85.30,+0.60,"12,531"
104/01/22,"25,901,616","2,209,612,955",85.60,85.70,84.80,85.50,+0.20,"11,654"
104/01/23,"71,838,263","6,246,004,009",85.80,87.80,85.70,87.80,+2.30,"33,643"
104/01/26,"64,344,295","5,686,685,672",87.80,89.10,87.20,88.80,+1.00,"28,034"
104/01/27,"39,764,117","3,527,873,796",89.40,89.40,87.80,88.80, 0.00,"17,731"
104/01/28,"27,746,871","2,447,348,983",88.50,88.60,87.90,87.90,-0.90,"12,526"
104/01/29,"32,918,275","2,863,320,954",87.80,87.80,86.50,86.70,-1.20,"15,445"
104/01/30,"26,007,903","2,264,270,652",87.70,87.70,86.70,86.70, 0.00,"10,300"
104/02/02,"30,256,207","2,609,671,818",87.20,87.30,85.80,86.50,-0.20,"11,629"
104/02/03,"24,087,792","2,102,157,395",86.50,87.80,86.30,87.40,+0.90,"10,478"
104/02/04,"36,083,976","3,168,896,579",87.70,88.40,87.50,87.50,+0.10,"12,739"
104/02/05,"20,542,159","1,789,046,541",87.60,87.60,86.80,87.30,-0.20,"7,868"
104/02/06,"17,169,148","1,498,692,494",87.70,87.70,86.80,87.30, 0.00,"7,612"
104/02/09,"16,533,126","1,440,316,062",87.40,87.40,86.90,87.00,-0.30,"7,246"
104/02/10,"37,200,123","3,196,282,013",86.50,86.70,85.50,85.50,-1.50,"17,647"
104/02/11,"42,617,033","3,621,198,415",85.00,85.50,84.70,84.80,-0.70,"19,735"
104/02/12,"40,774,161","3,485,381,753",85.20,86.40,84.50,86.20,+1.40,"17,786"
104/02/13,"28,335,354","2,439,563,444",86.00,86.40,85.70,85.80,-0.40,"12,461"
104/02/24,"58,555,340","5,046,339,202",86.10,86.80,85.80,85.80, 0.00,"19,668"
104/02/25,"27,641,993","2,378,511,938",85.80,86.50,85.50,86.30,+0.50,"12,469"
104/02/26,"45,547,240","3,964,463,308",86.50,87.70,86.10,87.10,+0.80,"17,708"
104/03/02,"31,916,394","2,792,956,361",87.70,88.40,87.00,87.10, 0.00,"12,794"
104/03/03,"21,771,139","1,884,209,619",87.10,87.50,86.20,86.30,-0.80,"10,224"
104/03/04,"61,434,770","5,404,832,606",87.00,88.80,86.70,88.30,+2.00,"26,031"
104/03/05,"57,112,246","5,067,475,602",88.60,89.40,87.70,88.50,+0.20,"24,391"
104/03/06,"36,627,012","3,249,549,809",88.50,89.10,88.00,88.80,+0.30,"13,044"
104/03/09,"25,278,243","2,226,371,904",88.40,88.60,87.80,87.80,-1.00,"10,131"
104/03/10,"23,789,022","2,081,514,048",87.90,88.20,87.10,87.10,-0.70,"10,654"
104/03/11,"31,224,145","2,728,117,774",86.50,88.00,86.40,87.30,+0.20,"13,105"
104/03/12,"38,288,531","3,346,703,565",87.00,87.80,87.00,87.10,-0.20,"14,068"
104/03/13,"36,023,695","3,176,148,460",87.30,88.60,87.30,88.00,+0.90,"13,874"
104/03/16,"36,470,716","3,203,439,385",88.00,88.40,87.30,87.30,-0.70,"12,701"
104/03/17,"31,124,409","2,728,409,594",87.30,88.20,87.30,87.30, 0.00,"9,851"
104/03/18,"41,411,280","3,639,266,445",87.30,88.30,87.30,87.90,+0.60,"13,386"
104/03/19,"131,562,136","11,865,473,696",88.30,91.20,88.30,91.10,+3.20,"53,957"
104/03/20,"117,568,471","10,859,059,949",91.40,93.50,91.00,93.00,+1.90,"43,239"
104/03/23,"78,554,963","7,371,146,715",93.50,94.70,93.10,93.50,+0.50,"29,370"
104/03/24,"49,488,731","4,635,114,209",93.70,94.40,93.00,93.30,-0.20,"18,976"
104/03/25,"47,407,471","4,460,908,574",94.00,94.80,93.40,94.40,+1.10,"19,080"
104/03/26,"48,764,540","4,577,960,527",93.90,94.40,93.00,94.40, 0.00,"17,343"
104/03/27,"52,851,496","4,935,494,321",94.40,94.40,92.40,93.00,-1.40,"21,361"
104/03/30,"42,747,703","4,015,352,182",94.00,94.60,93.50,94.00,+1.00,"16,262"
104/03/31,"109,910,350","10,178,082,035",94.50,94.90,91.00,91.60,-2.40,"42,896"
104/04/01,"41,384,665","3,794,649,871",91.60,92.50,90.50,91.70,+0.10,"16,633"
104/04/02,"42,164,583","3,925,799,275",92.90,93.50,92.50,93.20,+1.50,"15,636"
104/04/07,"24,248,033","2,266,576,663",93.80,93.90,92.80,93.60,+0.40,"10,139"
104/04/08,"32,273,432","3,009,912,793",94.00,94.00,92.60,93.70,+0.10,"11,688"
104/04/09,"34,454,520","3,206,526,660",93.70,93.80,92.60,93.00,-0.70,"13,128"
104/04/10,"34,247,623","3,184,761,363",93.80,93.80,92.60,93.10,+0.10,"11,064"
104/04/13,"19,526,574","1,816,390,152",93.20,93.50,92.60,92.90,-0.20,"8,377"
104/04/14,"30,250,174","2,827,521,730",93.00,93.80,92.60,93.80,+0.90,"11,120"
104/04/15,"48,176,615","4,455,823,474",93.50,93.90,91.80,92.10,-1.70,"20,460"
104/04/16,"24,770,019","2,304,883,867",92.90,93.40,92.60,93.30,+1.20,"10,862"
104/04/17,"25,190,821","2,332,572,334",93.30,93.30,92.20,92.30,-1.00,"9,655"
104/04/20,"25,700,374","2,371,914,613",91.40,93.20,91.40,92.80,+0.50,"10,521"
104/04/21,"22,696,541","2,098,024,094",92.80,93.20,92.00,92.10,-0.70,"9,586"
104/04/22,"28,665,821","2,643,434,032",91.80,93.00,91.80,92.00,-0.10,"9,329"
104/04/23,"57,193,159","5,330,988,269",92.50,94.00,92.50,93.30,+1.30,"21,218"
104/04/24,"88,319,965","8,355,807,785",94.00,95.30,93.80,94.60,+1.30,"35,695"
104/04/27,"44,909,930","4,263,924,318",95.10,95.40,94.60,94.70,+0.10,"17,184"
104/04/28,"50,459,311","4,746,356,876",95.00,95.40,93.30,93.60,-1.10,"20,357"
104/04/29,"42,706,392","3,957,466,187",93.60,93.80,92.00,92.10,-1.50,"17,345"
104/04/30,"32,071,388","2,961,576,643",92.10,93.10,91.90,92.00,-0.10,"9,862"
104/05/04,"23,192,381","2,152,484,224",93.00,93.20,92.30,93.10,+1.10,"8,620"
104/05/05,"19,623,488","1,825,886,684",93.50,93.80,92.40,93.10, 0.00,"7,378"
104/05/06,"22,388,121","2,081,147,091",92.80,93.40,92.40,93.00,-0.10,"8,050"
104/05/07,"24,164,603","2,233,090,068",93.00,93.00,92.10,92.10,-0.90,"9,298"
104/05/08,"28,439,590","2,636,425,463",92.30,93.30,92.20,92.70,+0.60,"10,466"
104/05/11,"29,376,541","2,738,926,713",93.80,93.90,92.30,93.20,+0.50,"13,076"
104/05/12,"15,402,291","1,430,331,428",92.80,93.40,92.50,92.70,-0.50,"7,284"
104/05/13,"41,774,462","3,925,118,039",93.50,94.50,93.10,94.50,+1.80,"17,347"
104/05/14,"26,024,909","2,440,722,203",94.50,94.50,93.40,93.70,-0.80,"10,200"
104/05/15,"21,583,619","2,013,745,665",93.70,93.90,92.90,93.10,-0.60,"8,171"
104/05/18,"126,258,696","12,114,539,089",95.20,96.80,95.10,96.80,+3.70,"44,858"
104/05/19,"99,833,299","9,826,694,855",97.80,98.90,97.80,98.40,+1.60,"33,757"
104/05/20,"44,669,267","4,359,377,590",98.50,98.50,97.00,97.50,-0.90,"21,255"
104/05/21,"43,700,933","4,234,665,601",97.00,97.40,96.50,97.00,-0.50,"16,831"
104/05/22,"34,022,208","3,302,606,771",97.20,97.90,96.30,96.50,-0.50,"15,005"
104/05/25,"29,599,679","2,875,561,167",97.50,97.70,96.60,96.90,+0.40,"12,340"
104/05/26,"22,883,036","2,233,971,534",97.80,98.30,97.30,97.40,+0.50,"10,500"
104/05/27,"30,319,017","2,956,525,360",97.80,98.00,97.00,97.40, 0.00,"10,669"
