開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資
207.5,208.0,207.0,208.0,+1.00,-672,-194,1332
207.5,212.0,207.0,211.5,+3.50,897,1174,-1017
211.0,213.0,210.5,213.0,+1.50,-317,656,-14
215.0,218.0,214.5,216.5,+3.50,-33,-1738,-1202
216.0,217.0,214.5,215.5,-1.00,-55,5337,-8751
217.0,218.0,216.5,218.0,+2.50,240,3330,544
218.0,218.5,217.0,217.0,-1.00,61,7123,-14489
212.0,215.0,212.0,215.0,X0.00,4,-7205,14544
214.0,214.0,211.0,211.5,-3.50,-144,3209,-15544
209.5,210.0,208.0,208.5,-3.00,-238,128,-13916
210.5,210.5,208.5,210.0,+1.50,-113,-895,-1338
206.5,208.5,206.5,208.5,-1.50,-32,-354,-5351
207.5,209.0,207.0,209.0,+0.50,-483,714,310
208.0,208.5,207.0,207.0,-2.00,-370,-241,-6967
207.0,208.5,206.5,208.5,+1.50,73,2155,-8323
208.0,208.5,207.0,207.5,-1.00,-172,-390,-5485
207.0,207.5,205.5,206.0,-1.50,-848,-525,-9512
206.5,207.0,206.0,206.0, 0.00,-17,884,-6370
208.0,212.0,207.5,212.0,+6.00,36,-2358,8012
211.0,212.5,210.5,210.5,-1.50,474,25,-9161
212.0,216.0,211.5,214.5,+4.00,517,-1313,4814
213.0,214.5,212.0,213.0,-1.50,0,271,-5633
215.0,215.5,211.5,213.0, 0.00,-193,215,1793
213.0,214.0,212.0,214.0,+1.00,-643,-1044,3918
212.5,215.0,212.5,214.5,+0.50,325,-468,1170
215.0,215.5,214.0,215.5,+1.00,-298,-330,1960
214.0,215.0,213.5,214.0,-1.50,5,60,-4946
213.5,214.5,213.0,214.5,+0.50,-42,-95,-3795
214.0,214.5,213.5,214.0,-0.50,-320,-781,-2791
215.0,215.0,212.5,213.0,-1.00,-438,-241,-3875
213.5,216.0,213.5,215.5,+2.50,-244,-500,8431
213.0,214.0,212.5,213.0,-2.50,-120,-375,-9688
211.5,214.5,211.5,214.5,+1.50,-124,147,-2480
212.5,214.0,212.0,212.0,-2.50,63,1121,-5764
214.0,216.0,214.0,216.0,+4.00,-53,-1520,11419
213.0,214.0,212.5,213.5,-2.50,135,503,-11200
213.5,214.0,212.5,213.0,-0.50,-20,73,-11354
213.5,216.5,213.5,216.0,+3.00,76,-1313,1341
217.5,219.0,216.0,217.5,+1.50,44,-2048,4420
215.0,215.5,213.5,214.5,-3.00,190,449,-15164
215.5,215.5,212.5,214.0,-0.50,-353,194,-11426
211.0,213.5,210.5,212.5,-1.50,-295,2418,-28445
213.5,214.0,210.0,211.0,-1.50,-54,-1158,-8982
213.0,214.5,213.0,214.0,+3.00,-91,-2042,718
214.5,214.5,211.0,213.0,-1.00,41,122,-4267
213.5,214.0,213.0,214.0,+1.00,-67,-336,2474
212.0,213.0,211.0,212.5,-1.50,-29,804,-6487
212.5,213.0,211.5,211.5,-1.00,-69,305,-5113
213.5,214.5,213.0,214.5,+3.00,202,154,4366
215.5,216.0,214.0,215.5,+1.00,-97,-2549,4376
216.0,217.0,215.5,217.0,+1.50,-51,-346,7263
217.5,217.5,216.0,217.5,+0.50,20,-583,6464
215.0,216.5,215.0,216.0,-1.50,-171,158,1402
216.0,216.0,215.0,216.0, 0.00,-87,-391,1497
