成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"1,473,987,563",80.00,81.20,80.00,80.20,-0.10,"6,294",-163,26,1701
"1,996,661,601",79.90,80.20,79.30,79.50,-0.70,"8,560",-147,-68,-3903
"2,383,149,655",80.00,80.20,78.60,78.60,-0.90,"11,396",-76,-683,-3313
"2,976,891,928",77.10,77.70,77.10,77.10,-1.50,"16,551",-107,511,-14671
"2,390,836,097",77.00,77.10,75.60,75.60,-1.50,"15,383",-3,-534,-18132
"2,536,035,474",75.60,76.40,74.90,75.70,+0.10,"15,249",-370,1212,-11771
"1,877,594,635",75.70,76.10,75.00,75.40,-0.30,"10,543",-243,163,-8825
"3,427,558,390",75.40,75.50,73.60,73.80,-1.60,"19,248",-301,-1388,-19920
"2,795,465,081",74.00,74.20,72.50,72.60,-1.20,"17,832",-2414,-147,-17627
"2,199,602,350",72.60,74.80,72.50,74.80,+2.20,"13,395",13,-446,1280
"2,067,590,923",74.80,75.50,73.40,74.00,-0.80,"11,971",-85,367,-13765
"1,930,895,356",73.90,74.10,73.00,73.30,-0.70,"9,697",0,463,-13894
"4,706,304,000",75.00,75.40,73.50,74.40,+1.10,"27,592",0,-664,-40297
"1,959,623,182",74.10,74.40,73.50,74.00,-0.40,"13,009",0,134,-13409
"2,156,356,027",74.20,74.70,74.00,74.30,+0.30,"11,869",-63,1802,-15121
"2,142,547,277",74.30,74.50,73.50,74.40,+0.10,"10,524",-547,-500,-10129
"1,879,143,796",74.40,74.70,73.80,74.20,-0.20,"9,898",-125,-478,-11279
"1,802,007,602",74.30,74.80,74.00,74.00,-0.20,"8,448",11,-594,-7202
"4,053,551,780",74.40,77.70,74.20,77.40,+3.40,"21,593",-22,3185,13136
"2,053,542,542",77.30,77.40,76.40,76.40,-1.00,"13,366",0,-1492,-4879
"3,687,122,354",77.50,79.70,77.40,78.40,+2.00,"20,032",1020,943,-1619
"1,433,864,127",78.50,79.00,78.00,78.10,-0.30,"8,594",87,-456,-4852
"1,575,252,705",78.60,78.90,78.10,78.40,+0.30,"8,528",98,-688,-951
"2,003,392,511",79.00,79.90,78.50,79.50,+1.10,"11,798",0,-440,12409
"5,316,736,778",79.50,80.10,79.10,80.10,+0.60,"11,613",-20,-639,2760
"2,294,863,500",79.60,81.00,79.60,80.60,+0.50,"13,259",55,1427,5759
"2,319,181,117",80.70,80.80,79.20,79.30,-1.30,"11,505",-6,-381,-3143
"1,391,439,460",79.50,80.20,79.50,80.00,+0.70,"7,527",0,910,7344
"443,138,306",79.90,80.30,79.70,80.20,+0.20,"3,447",0,287,518
"1,738,847,529",79.80,81.40,79.60,80.20, 0.00,"9,765",-21,1699,209
"2,550,209,533",80.80,81.20,80.60,81.10,+0.90,"11,809",16,247,8291
"3,045,717,487",81.50,82.00,81.10,81.30,+0.20,"15,060",0,-293,7183
"3,819,961,931",79.90,80.00,78.60,78.60,-2.70,"20,366",-450,-694,-16450
"2,095,778,325",78.00,79.90,78.00,79.90,+1.30,"10,761",-112,-6,2520
"1,724,184,457",79.30,80.30,79.20,80.20,+0.30,"8,973",-807,64,4993
"2,274,529,587",79.50,79.60,78.60,78.80,-1.40,"10,720",-58,-389,-12323
"2,663,154,297",79.20,80.10,79.00,79.30,+0.50,"10,665",-157,927,-235
"2,069,313,707",80.40,80.80,80.10,80.50,+1.20,"10,938",-28,963,7389
"2,010,220,811",80.30,81.00,80.10,80.70,+0.20,"9,037",0,315,574
"2,207,554,868",80.70,81.50,80.70,81.50,+0.80,"12,309",0,-104,7129
"4,055,603,657",82.00,83.00,82.00,82.90,+1.40,"22,574",-100,-1504,10079
"5,223,362,936",83.20,83.20,80.60,81.50,-1.40,"27,147",-54,-219,-14134
"1,693,251,174",81.00,82.10,80.80,82.00,+0.50,"9,536",-20,726,1090
"2,182,222,829",81.20,82.50,80.80,82.50,+0.50,"12,311",4,652,992
"1,721,836,009",82.00,82.90,82.00,82.50, 0.00,"9,097",0,-535,4994
"2,295,824,152",82.70,82.90,82.20,82.50, 0.00,"9,310",0,-475,4730
"2,124,301,204",82.50,83.40,82.50,82.70,+0.20,"10,582",0,968,9251
"2,103,320,923",83.30,83.50,83.00,83.30,+0.60,"9,239",-128,2118,6890
"1,432,788,939",83.00,83.30,82.60,83.00,-0.30,"8,125",-115,-675,-1610
"2,184,621,848",82.50,82.50,81.50,81.50,-1.50,"13,324",-213,404,-13839
"1,392,004,645",82.00,82.30,81.70,82.10,+0.60,"7,524",25,-461,1572
"2,739,572,933",82.20,83.00,82.20,82.50,+0.40,"12,213",0,716,-358
"2,714,824,955",82.60,83.50,82.60,83.30,+0.80,"12,270",80,195,7914
"2,522,782,201",83.90,83.90,83.00,83.50,+0.20,"13,025",440,-566,1135
"1,612,947,255",83.50,83.60,83.00,83.50, 0.00,"8,638",267,-195,4824
"2,881,651,526",83.70,84.80,83.70,84.50,+1.00,"16,344",-103,1495,11565
"3,635,626,835",85.40,86.00,85.00,86.00,+1.50,"18,173",350,931,17590
"3,008,122,370",86.40,86.40,85.60,86.20,+0.20,"13,629",83,2704,13222
