開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資,RiseOrFall
102.0,105.5,101.5,104.0,+3.00,1306,-3457,10946,105.5,105.5,103.0,104.0, 0.00,92,163,10062,104.0,104.0,103.0,104.0, 0.00,69,1076,2839,-1.5
104.0,104.0,103.0,104.0, 0.00,69,1076,2839,104.0,105.0,102.0,102.5,-1.50,227,1792,-2657,103.0,104.5,102.5,104.0,+1.50,597,677,8338,-0.5
104.0,105.0,102.0,102.5,-1.50,227,1792,-2657,103.0,104.5,102.5,104.0,+1.50,597,677,8338,104.0,104.0,102.5,103.5,-0.50,2214,336,-171,-0.5
103.0,104.5,102.5,104.0,+1.50,597,677,8338,104.0,104.0,102.5,103.5,-0.50,2214,336,-171,103.0,103.5,102.0,103.0,-0.50,117,-379,937,-1.0
104.0,104.0,102.5,103.5,-0.50,2214,336,-171,103.0,103.5,102.0,103.0,-0.50,117,-379,937,101.0,102.0,100.5,102.0,-1.00,-105,-848,-8701,-0.5
102.0,102.5,101.5,101.5,-0.50,-75,-631,-1844,102.5,102.5,102.0,102.5,+1.00,282,298,1101,103.0,104.5,102.5,104.0,+1.50,106,1816,10369,0.0
103.0,104.5,102.5,104.0,+1.50,106,1816,10369,103.5,104.5,103.5,104.0, 0.00,-63,-263,1389,104.5,105.0,104.0,105.0,+1.00,-16,-203,7525,-0.5
103.5,104.5,103.5,104.0, 0.00,-63,-263,1389,104.5,105.0,104.0,105.0,+1.00,-16,-203,7525,104.0,104.5,104.0,104.5,-0.50,714,-288,-2501,-1.5
103.5,104.0,103.0,103.0,-1.50,-35,-681,-12754,103.5,104.5,103.0,104.5,+1.50,-239,136,8425,105.0,105.5,104.5,105.5,+1.00,-69,-151,14544,-0.5
105.0,105.5,104.5,105.5,+1.00,-69,-151,14544,105.0,105.5,104.5,105.0,-0.50,-869,93,45,105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,-0.5
105.0,105.5,104.5,105.0,-0.50,-869,93,45,105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,0.0
105.0,106.0,105.0,105.5,+0.50,-12,1165,6311,105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,0.0
105.5,105.5,105.0,105.0,-0.50,-498,-441,-3637,105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,0.0
105.0,105.5,104.5,105.0, 0.00,27,-424,-1929,105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,-3.0
105.0,105.5,104.5,105.0, 0.00,-14,-673,-1137,105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,103.0,103.5,102.0,102.0,-3.00,-69,198,-13963,0.0
105.0,106.0,105.0,105.0, 0.00,623,-790,-8948,103.0,103.5,102.0,102.0,-3.00,-69,198,-13963,101.0,102.5,101.0,102.0, 0.00,-214,973,-9804,0.0
102.5,105.0,102.5,105.0,+2.50,-85,2681,5108,106.0,110.0,106.0,109.5,+4.50,965,4414,17243,111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,-1.5
106.0,110.0,106.0,109.5,+4.50,965,4414,17243,111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,113.5,114.0,112.0,113.0,-1.50,1772,1921,-12694,-0.5
111.5,115.0,111.5,114.5,+5.00,2388,-28,5479,113.5,114.0,112.0,113.0,-1.50,1772,1921,-12694,113.0,114.5,112.0,112.5,-0.50,144,1988,-6496,0.0
113.0,114.0,112.5,112.5, 0.00,750,-877,655,113.5,121.0,113.0,120.0,+7.50,1255,3726,5317,119.0,122.5,119.0,121.5,+1.50,-270,3011,-8605,-3.5
119.0,122.5,119.0,121.5,+1.50,-270,3011,-8605,120.0,121.0,118.0,118.0,-3.50,-247,-1567,-23933,119.5,120.0,118.5,119.0,+1.00,-206,747,-3945,-2.0
120.0,121.0,118.0,118.0,-3.50,-247,-1567,-23933,119.5,120.0,118.5,119.0,+1.00,-206,747,-3945,117.5,118.0,116.0,117.0,-2.00,267,1945,-14813,-0.5
119.5,120.0,118.5,119.0,+1.00,-206,747,-3945,117.5,118.0,116.0,117.0,-2.00,267,1945,-14813,116.0,118.0,116.0,116.5,-0.50,-251,3798,-4059,-3.5
116.0,118.0,116.0,116.5,-0.50,-251,3798,-4059,116.5,117.0,113.0,113.0,-3.50,-340,557,-3867,113.5,116.0,113.0,116.0,+3.00,219,4827,-5249,-0.5
116.5,117.0,113.0,113.0,-3.50,-340,557,-3867,113.5,116.0,113.0,116.0,+3.00,219,4827,-5249,115.5,115.5,114.0,115.5,-0.50,-115,1217,-2637,-1.0
114.5,115.0,114.0,114.5,-1.00,-904,1163,-9366,115.0,116.0,114.5,115.5,+1.00,16,4237,763,117.0,118.5,116.5,118.5,+3.00,670,8486,8483,0.0
115.0,116.0,114.5,115.5,+1.00,16,4237,763,117.0,118.5,116.5,118.5,+3.00,670,8486,8483,118.5,119.5,118.0,118.5, 0.00,665,12139,2777,0.0
117.0,118.5,116.5,118.5,+3.00,670,8486,8483,118.5,119.5,118.0,118.5, 0.00,665,12139,2777,115.5,116.0,115.0,115.5,0,204,-19174,15,0.0
118.5,119.5,118.0,118.5, 0.00,665,12139,2777,115.5,116.0,115.0,115.5,0,204,-19174,15,116.0,116.0,115.0,115.5, 0.00,61,-4758,-420,0.0
116.0,116.0,115.0,115.5, 0.00,61,-4758,-420,116.0,116.0,115.0,115.5, 0.00,-489,-4183,-1007,115.5,117.0,115.0,117.0,+1.50,-328,-1602,7312,0.0
116.0,116.0,115.0,115.5, 0.00,-489,-4183,-1007,115.5,117.0,115.0,117.0,+1.50,-328,-1602,7312,117.5,118.0,117.0,117.0, 0.00,-200,-2208,5013,-0.5
115.5,117.0,115.0,117.0,+1.50,-328,-1602,7312,117.5,118.0,117.0,117.0, 0.00,-200,-2208,5013,118.0,118.5,116.5,116.5,-0.50,-237,-39,-5066,-1.5
116.5,116.5,114.5,115.0,-1.50,-466,-499,-8571,114.5,116.0,114.0,116.0,+1.00,-400,628,6448,116.5,117.5,116.0,117.0,+1.00,-83,370,4973,-1.5
116.5,117.5,116.0,117.0,+1.00,-83,370,4973,117.5,117.5,115.5,115.5,-1.50,-313,-1825,-1974,117.0,118.5,117.0,117.5,+2.00,-78,1715,2845,0.0
117.5,117.5,115.5,115.5,-1.50,-313,-1825,-1974,117.0,118.5,117.0,117.5,+2.00,-78,1715,2845,117.5,118.0,116.5,117.5, 0.00,-98,-1447,-2959,0.0
117.0,118.5,117.0,117.5,+2.00,-78,1715,2845,117.5,118.0,116.5,117.5, 0.00,-98,-1447,-2959,116.5,117.5,116.5,117.5, 0.00,252,324,348,-1.0
117.5,119.0,117.5,119.0,+0.50,-134,-1272,3645,119.0,119.5,118.5,119.5,+0.50,-155,49,1932,119.5,122.0,119.5,121.5,+2.00,-506,2615,-1484,-0.5
119.0,119.5,118.5,119.5,+0.50,-155,49,1932,119.5,122.0,119.5,121.5,+2.00,-506,2615,-1484,122.0,122.5,119.5,121.0,-0.50,360,-2866,-871,-3.0
119.5,122.0,119.5,121.5,+2.00,-506,2615,-1484,122.0,122.5,119.5,121.0,-0.50,360,-2866,-871,119.5,120.5,117.5,118.0,-3.00,25,969,-17905,-2.0
119.5,120.5,117.5,118.0,-3.00,25,969,-17905,118.0,118.0,115.0,116.0,-2.00,-317,137,-7320,114.5,117.0,114.5,116.5,+0.50,-391,1017,-9895,-2.5
114.5,117.0,114.5,116.5,+0.50,-391,1017,-9895,116.5,116.5,114.0,114.0,-2.50,-125,-117,-9005,115.5,116.0,114.5,115.5,+1.50,170,-2871,3422,-0.5
115.5,116.0,114.5,115.5,+1.50,170,-2871,3422,115.0,116.0,114.5,115.0,-0.50,1211,76,-14412,115.0,116.0,115.0,116.0,+1.00,42,1099,-955,-0.5
115.0,116.0,114.5,115.0,-0.50,1211,76,-14412,115.0,116.0,115.0,116.0,+1.00,42,1099,-955,114.5,116.0,114.0,115.5,-0.50,-219,-140,-5365,-0.5
115.0,116.0,115.0,116.0,+1.00,42,1099,-955,114.5,116.0,114.0,115.5,-0.50,-219,-140,-5365,114.5,115.0,114.0,115.0,-0.50,-143,77,-8129,0.0
114.5,116.0,114.0,115.5,-0.50,-219,-140,-5365,114.5,115.0,114.0,115.0,-0.50,-143,77,-8129,115.5,116.0,115.0,115.0, 0.00,290,1146,-4735,0.0
115.5,116.0,115.0,115.0, 0.00,290,1146,-4735,115.5,116.5,115.0,115.0, 0.00,-186,-99,-8045,115.0,116.0,115.0,116.0,+1.00,-652,1397,-6822,0.0
115.5,116.5,115.0,115.0, 0.00,-186,-99,-8045,115.0,116.0,115.0,116.0,+1.00,-652,1397,-6822,116.0,116.5,115.5,116.0, 0.00,-99,1532,-1376,-0.5
115.0,116.0,115.0,116.0,+1.00,-652,1397,-6822,116.0,116.5,115.5,116.0, 0.00,-99,1532,-1376,116.5,116.5,115.0,115.5,-0.50,-17,938,-4266,0.0
116.5,116.5,115.0,115.5,-0.50,-17,938,-4266,115.0,115.5,115.0,115.5, 0.00,-508,99,-4813,116.0,117.5,116.0,117.5,+2.00,80,-127,2969,0.0
115.0,115.5,115.0,115.5, 0.00,-508,99,-4813,116.0,117.5,116.0,117.5,+2.00,80,-127,2969,118.5,119.0,117.0,117.5, 0.00,177,866,-2121,0.0
116.0,117.5,116.0,117.5,+2.00,80,-127,2969,118.5,119.0,117.0,117.5, 0.00,177,866,-2121,117.0,118.0,117.0,117.5, 0.00,-199,54,-812,-1.0
118.5,119.0,117.0,117.5, 0.00,177,866,-2121,117.0,118.0,117.0,117.5, 0.00,-199,54,-812,116.5,117.5,116.0,116.5,-1.00,-50,219,-2963,0.0
117.0,118.0,117.0,117.5, 0.00,-199,54,-812,116.5,117.5,116.0,116.5,-1.00,-50,219,-2963,116.5,117.0,115.5,116.5, 0.00,-88,-549,-2141,-1.0
116.5,117.5,116.0,116.5,-1.00,-50,219,-2963,116.5,117.0,115.5,116.5, 0.00,-88,-549,-2141,116.0,116.5,115.0,115.5,-1.00,-502,-2160,1444,0.0
116.0,116.5,115.0,115.5,-1.00,-502,-2160,1444,115.5,116.5,115.0,115.5, 0.00,-448,139,-6496,116.0,117.5,115.5,117.0,+1.50,-112,306,-1149,-1.0
116.0,117.5,115.5,117.0,+1.50,-112,306,-1149,117.5,118.0,115.5,116.0,-1.00,-229,106,-4268,117.0,117.5,116.0,117.0,+1.00,144,-43,488,-1.5
117.5,118.0,115.5,116.0,-1.00,-229,106,-4268,117.0,117.5,116.0,117.0,+1.00,144,-43,488,116.5,117.5,115.5,115.5,-1.50,-225,-670,-11636,-1.0
116.5,117.5,115.5,115.5,-1.50,-225,-670,-11636,115.5,115.5,114.0,114.5,-1.00,-781,-127,-7685,114.0,115.0,114.0,115.0,+0.50,275,-1630,-9064,-1.0
115.5,115.5,114.0,114.5,-1.00,-781,-127,-7685,114.0,115.0,114.0,115.0,+0.50,275,-1630,-9064,114.0,115.0,113.0,114.0,-1.00,-1036,1124,-14243,-4.0
114.0,115.0,114.0,115.0,+0.50,275,-1630,-9064,114.0,115.0,113.0,114.0,-1.00,-1036,1124,-14243,113.5,114.0,110.0,110.0,-4.00,-3603,-2655,-36029,-3.5
113.5,114.0,110.0,110.0,-4.00,-3603,-2655,-36029,109.0,110.0,106.5,106.5,-3.50,-4288,-1107,-18461,105.5,112.0,105.0,111.0,+4.50,-2502,948,-9703,-3.0
109.0,110.0,106.5,106.5,-3.50,-4288,-1107,-18461,105.5,112.0,105.0,111.0,+4.50,-2502,948,-9703,109.0,110.0,108.0,108.0,-3.00,-2641,-3572,-13398,-3.0
105.5,112.0,105.0,111.0,+4.50,-2502,948,-9703,109.0,110.0,108.0,108.0,-3.00,-2641,-3572,-13398,107.0,107.0,105.0,105.0,-3.00,-3165,-862,-23956,-1.5
107.0,107.0,105.0,105.0,-3.00,-3165,-862,-23956,104.0,106.0,103.0,103.5,-1.50,-228,762,-25668,105.0,105.5,104.5,105.0,+1.50,-331,1168,-6483,-0.5
