開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資
10.85,10.95,10.8,10.85,+0.10,0,934,1754
10.9,11.0,10.8,10.95,+0.10,56,-144,7241
10.9,10.95,10.85,10.9,-0.05,0,-121,-1434
10.95,11.0,10.7,10.75,-0.15,0,6,-12621
10.8,10.9,10.6,10.6,-0.15,2,-735,-4015
10.7,10.7,10.6,10.65,+0.05,0,2396,-1172
10.65,10.8,10.6,10.75,+0.10,0,-376,1333
10.6,10.75,10.6,10.75, 0.00,-1,7899,-740
10.8,10.95,10.75,10.9,+0.15,0,4822,2612
10.85,10.95,10.8,10.95,+0.05,0,335,-2456
10.95,10.95,10.65,10.65,-0.30,0,-455,-9129
10.6,10.75,10.55,10.65, 0.00,0,244,-15102
10.7,10.75,10.5,10.65, 0.00,0,-2,-5055
10.6,10.6,10.15,10.3,-0.35,0,131,-20165
10.3,10.35,10.2,10.25,-0.05,4,155,-23831
10.25,10.25,10.1,10.15,-0.10,0,-899,-23188
10.2,10.3,10.15,10.2,+0.05,0,215,-20913
10.15,10.3,10.1,10.2, 0.00,11,658,-26828
10.3,10.3,10.1,10.2, 0.00,0,-1638,-35052
10.15,10.3,10.1,10.2, 0.00,0,-83,-24452
10.2,10.2,10.1,10.15,-0.05,2,100,-17239
10.15,10.25,10.1,10.2,+0.05,0,-342,-11252
10.15,10.25,10.1,10.2, 0.00,0,81,-16340
10.15,10.2,10.1,10.15,-0.05,0,329,-15437
10.15,10.25,10.1,10.2,+0.05,0,15,-3224
10.25,10.3,10.15,10.15,-0.05,0,-703,-932
10.15,10.5,10.1,10.5,+0.35,0,846,5402
10.5,10.55,10.35,10.35,-0.15,0,-33,-1244
10.45,10.55,10.4,10.55,+0.20,0,-92,2054
10.5,10.55,10.45,10.5,-0.05,-13,512,-1898
10.55,10.75,10.5,10.7,+0.20,0,333,6253
10.7,10.85,10.65,10.8,+0.10,0,-391,8121
10.8,11.0,10.7,11.0,+0.20,-52,272,9167
11.0,11.1,10.9,10.95,-0.05,0,756,5705
10.85,10.85,10.6,10.75,-0.20,0,-281,236325
10.75,10.75,10.5,10.6,-0.15,10,459,-34472
10.6,10.7,10.55,10.65,+0.05,0,195,199
10.65,10.7,10.6,10.65, 0.00,0,-234,3728
10.7,10.75,10.65,10.7,+0.05,0,371,-975
10.75,10.8,10.65,10.75,+0.05,0,355,730
10.65,10.65,10.25,10.3,-0.45,0,-710,-36969
10.35,10.4,10.3,10.3, 0.00,0,428,-7493
10.35,10.4,10.3,10.35,+0.05,0,280,-8497
10.35,10.35,10.2,10.25,-0.10,726,-319,-17828
10.3,10.35,10.25,10.3,+0.05,1891,37,-2886
10.3,10.4,10.3,10.4,+0.10,397,173,-511
10.4,10.45,10.35,10.4, 0.00,332,-181,5745
10.4,10.45,10.3,10.45,+0.05,0,4,2276
10.4,10.45,10.35,10.4,-0.05,0,12,2182
10.4,10.45,10.1,10.2,-0.20,-44,-877,-11279
10.2,10.25,10.1,10.2, 0.00,147,-45,-737
10.15,10.25,10.1,10.25,+0.05,-2,-33,-1500
10.25,10.35,10.2,10.35,+0.10,0,220,3285
10.35,10.45,10.3,10.4,+0.05,2,-138,2103
10.4,10.45,10.35,10.4, 0.00,0,587,4290
10.4,10.55,10.4,10.45,+0.05,0,319,1232
10.5,11.0,10.5,10.95,+0.50,-98,2410,47404
10.9,10.9,10.7,10.75,-0.20,-102,-1959,-2192
10.8,10.85,10.7,10.75, 0.00,0,-178,554
10.85,10.95,10.8,10.9,+0.15,0,1057,16186
10.95,11.0,10.85,10.9, 0.00,0,-122,21607
11.0,11.0,10.85,10.9, 0.00,0,3119,12043
10.9,11.05,10.9,10.95,+0.05,39,11929,13754
10.7,11.0,10.7,11.0,X0.00,0,-12759,29966
11.05,11.2,11.05,11.15,+0.15,0,-1408,9961
11.15,11.25,11.05,11.2,+0.05,18,137,16685
11.2,11.2,11.0,11.1,-0.10,79,-1119,3875
11.15,11.2,11.1,11.2,+0.10,-26,632,10538
11.2,11.2,10.95,11.05,-0.15,107,-951,-1385
11.1,11.1,10.85,11.0,-0.05,475,-163,301
11.0,11.4,10.9,11.35,+0.35,3273,1336,27948
11.4,11.45,11.25,11.3,-0.05,-2,-773,3039
11.3,11.35,11.15,11.3, 0.00,115,499,15601
11.3,11.35,11.2,11.2,-0.10,-21,-810,-75
11.2,11.3,11.15,11.25,+0.05,1,435,13059
11.25,11.35,11.2,11.35,+0.10,-10,-165,10085
11.25,11.3,11.15,11.2,-0.15,19,3,-9621
11.2,11.25,11.05,11.15,-0.05,55,-832,-2027
11.15,11.3,11.15,11.25,+0.10,-6,1662,4992
11.35,11.45,11.3,11.45,+0.20,-8,-720,7637
11.4,11.6,11.35,11.55,+0.10,-1,554,2865
11.55,11.9,11.5,11.85,+0.30,2,3596,3989
11.8,11.8,11.45,11.75,-0.10,6,-4411,-5176
11.75,11.95,11.7,11.95,+0.20,-7,2826,16337
11.95,11.95,11.8,11.9,-0.05,24,-2793,2082
11.9,11.9,11.75,11.85,-0.05,-15,-1384,3223
11.75,11.8,11.7,11.75,-0.10,6,-388,-3484
11.7,11.9,11.6,11.85,+0.10,-6,-355,480
11.8,11.8,11.45,11.45,-0.40,-335,-1158,-9558
11.4,11.6,11.25,11.6,+0.15,0,-167,-2489
11.55,11.7,11.45,11.6, 0.00,-2,1224,-3869
11.55,11.6,11.4,11.45,-0.15,-12,-554,-5205
11.4,11.7,11.4,11.7,+0.25,-2,449,1956
11.6,11.75,11.55,11.7, 0.00,3,-10,-521
11.6,11.6,11.4,11.4,-0.30,-2,-377,-16991
11.5,11.55,11.45,11.5,+0.10,76,-508,-389
11.45,11.5,11.25,11.25,-0.25,-6,-343,-11634
11.25,11.3,11.05,11.1,-0.15,239,329,-10229
11.15,11.2,11.05,11.1, 0.00,0,600,-10230
11.2,11.35,11.2,11.35,+0.25,-8,163,6985
11.25,11.4,11.25,11.4,+0.05,0,364,-736
11.35,11.5,11.35,11.45,+0.05,25,325,227
11.45,11.55,11.4,11.5,+0.05,-11,-199,-4940
11.4,11.45,11.2,11.2,-0.30,2,-739,-16762
11.05,11.2,11.0,11.15,-0.05,0,-422,-3238
11.1,11.25,11.05,11.2,+0.05,0,402,-4473
11.2,11.25,11.05,11.1,-0.10,8,-683,-10678
11.1,11.15,11.05,11.05,-0.05,152,-77,-7627
11.1,11.3,11.1,11.2,+0.15,0,1120,-6295
11.2,11.3,11.15,11.2, 0.00,188,40,-5903
11.2,11.3,11.15,11.2, 0.00,0,-15452,-2266
11.25,11.3,11.2,11.3,+0.10,0,10,4111
11.3,11.35,11.25,11.35,+0.05,0,367,3223
11.3,11.35,11.2,11.2,-0.15,0,-324,-2999
11.3,11.35,11.25,11.3,+0.10,0,73,5555
11.3,11.3,11.2,11.2,-0.10,152,-737,516
11.25,11.3,11.2,11.25,+0.05,0,555,478
11.3,11.35,11.2,11.35,+0.10,0,203,4179
11.25,11.35,11.25,11.3,-0.05,0,-185,1651
11.3,11.35,11.25,11.3, 0.00,0,-182,-1697
11.35,11.35,11.2,11.3, 0.00,0,288,1466
11.35,11.35,11.2,11.25,-0.05,3,-38,1757
11.2,11.3,11.2,11.3,+0.05,-2,88,2063
11.3,11.3,11.1,11.1,-0.20,4,-167,-10145
11.15,11.25,11.1,11.25,+0.15,0,-434,5269
11.25,11.25,11.1,11.15,-0.10,0,-121,283
11.15,11.3,11.15,11.3,+0.15,0,-103,6366
11.3,11.35,11.25,11.3, 0.00,0,667,6492
11.45,11.75,11.45,11.7,+0.40,20,3004,30109
11.7,11.8,11.6,11.7, 0.00,-6,-1570,3146
11.7,11.8,11.65,11.7, 0.00,0,6,3429
11.75,11.75,11.65,11.75,+0.05,0,150,8274
11.75,11.75,11.6,11.65,-0.10,0,647,2826
11.7,11.75,11.6,11.65, 0.00,0,564,2920
11.7,11.75,11.6,11.75,+0.10,0,-67,8720
11.65,11.8,11.6,11.8,+0.05,0,-810,-225
11.75,11.8,11.65,11.75,-0.05,-4,-589,4898
11.65,11.75,11.6,11.65,-0.10,0,110,1089
11.6,11.65,11.35,11.35,-0.30,0,545,-4450
11.35,11.6,11.35,11.6,+0.25,-548,-1654,6003
11.55,11.75,11.55,11.7,+0.10,0,561,3251
11.75,11.75,11.6,11.7, 0.00,0,-97,3560
11.8,11.85,11.25,11.3,-0.40,0,-1090,-2193
11.6,11.7,11.55,11.7,+0.40,0,872,8857
11.65,11.7,11.5,11.5,-0.20,0,-501,-7540
11.45,11.7,11.4,11.6,+0.10,0,608,-5095
11.65,11.7,11.5,11.5,-0.10,0,-327,-3207
11.55,11.6,11.5,11.5, 0.00,0,-104,-2161
11.5,11.6,11.45,11.55,+0.05,0,-63,-2114
11.5,11.55,11.4,11.4,-0.15,0,1749,-6988
11.4,11.55,11.35,11.55,+0.15,0,-271,-555
11.55,11.65,11.45,11.65,+0.10,0,-273,5138
11.7,11.7,11.55,11.65, 0.00,0,52,453
11.65,11.9,11.6,11.8,+0.15,0,5449,404
11.75,12.0,11.65,11.65,-0.15,0,-1481,-603
11.75,11.9,11.7,11.75,+0.10,-26,-552,10404
11.75,11.8,11.6,11.65,-0.10,-125,787,-205
11.65,11.7,11.5,11.55,-0.10,0,971,-4616
11.55,11.7,11.55,11.6,+0.05,0,556,2261
11.55,11.65,11.5,11.55,-0.05,0,-607,4353
11.6,11.6,11.45,11.45,-0.10,0,-95,-7426
11.55,11.6,11.5,11.55,+0.10,0,171,2394
11.55,11.6,11.45,11.5,-0.05,0,-6,-1001
11.6,11.8,11.6,11.8,+0.30,0,-1231,13278
11.8,12.05,11.75,12.0,+0.20,0,-1129,9331
12.05,12.15,11.85,11.9,-0.10,400,-2588,1167
11.9,12.1,11.85,12.05,+0.15,0,457,5600
12.1,12.2,11.9,12.0,-0.05,-633,-3967,498
11.95,12.05,11.9,11.95,-0.05,0,931,2941
12.05,12.1,11.95,12.0,+0.05,0,-625,7475
12.05,12.05,11.85,11.9,-0.10,0,-930,-1141
11.9,11.95,11.85,11.9, 0.00,0,569,-1291
11.9,11.95,11.8,11.8,-0.10,0,2368,-6986
11.8,11.8,11.7,11.7,-0.10,0,601,-3667
11.65,11.75,11.6,11.7, 0.00,0,-947,-5798
11.7,11.8,11.7,11.75,+0.05,0,-1,-1079
11.75,11.8,11.65,11.7,-0.05,0,118,-1555
11.75,11.95,11.7,11.85,+0.15,0,1446,1133
11.8,11.9,11.75,11.8,-0.05,0,598,-2198
11.85,12.0,11.8,12.0,+0.20,0,250,5249
