開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資
12.15,12.15,11.8,11.85,-0.30,-220,-720,-11165
11.8,11.85,11.55,11.65,-0.20,0,-166,-8247
11.6,11.7,11.5,11.6,-0.05,1,-310,-1735
11.55,11.6,11.1,11.15,-0.45,-426,421,-13332
11.1,11.25,11.1,11.2,+0.05,0,2720,-12246
11.05,11.1,10.75,10.8,-0.40,0,-1933,-10328
10.85,10.85,10.7,10.75,-0.05,-3,-1110,-13138
10.8,10.85,10.65,10.75, 0.00,-117,409,-4889
10.6,10.6,10.25,10.4,-0.35,0,-35,-9686
10.45,10.55,10.15,10.15,-0.25,-72,-611,-21995
10.0,10.35,10.0,10.25,+0.10,0,-557,-7449
10.3,10.3,10.2,10.25, 0.00,0,428,-8010
10.2,10.25,10.0,10.05,-0.20,-54,-996,-8345
10.1,10.15,9.97,9.97,-0.08,0,-1557,-9510
10.1,10.2,10.05,10.2,+0.23,0,-812,364
10.25,10.35,10.2,10.3,+0.10,-7,259,-13022
10.2,10.2,10.05,10.05,-0.25,2,-906,-7387
10.1,10.15,10.05,10.05, 0.00,0,-309,-5649
10.0,10.2,10.0,10.05, 0.00,-3,117,-9331
10.15,10.55,10.1,10.3,+0.25,4,2244,-19430
10.45,10.8,10.45,10.8,+0.50,63,1606,2953
10.8,10.85,10.55,10.8, 0.00,0,-1654,4203
10.7,10.9,10.6,10.8, 0.00,0,-421,122
10.65,10.7,10.5,10.55,-0.25,0,-1537,-11735
10.4,10.55,10.35,10.45,-0.10,-6,117,-5782
10.55,10.95,10.5,10.85,+0.40,0,2437,4851
10.85,10.9,10.7,10.75,-0.10,3,-318,-3469
10.85,10.95,10.75,10.85,+0.10,0,724,4189
10.8,10.85,10.7,10.8,-0.05,10,-37,-4677
10.8,10.9,10.7,10.75,-0.05,0,-8,-1639
10.85,10.85,10.7,10.8,+0.05,0,6,-2819
10.75,10.8,10.6,10.7,-0.10,0,-570,-3795
10.7,10.8,10.6,10.8,+0.10,0,-467,-2928
10.8,10.85,10.7,10.7,-0.10,123,-1,-4588
10.75,10.85,10.7,10.85,+0.15,0,262,1227
10.95,11.15,10.9,11.1,+0.25,-48,-37,819
11.1,11.6,11.1,11.6,+0.50,0,318,13868
11.65,12.15,11.55,11.9,+0.30,0,1342,-10543
12.0,12.1,11.8,11.9, 0.00,0,-1341,-1391
11.9,11.95,11.65,11.95,+0.05,-10,-1558,9703
11.85,11.95,11.75,11.75,-0.20,4915,961,-12259
11.75,12.0,11.7,11.95,+0.20,8,436,3153
11.85,11.9,11.75,11.9,-0.05,0,-114,-2705
11.95,12.05,11.8,11.85,-0.05,0,-37,-7802
11.85,11.85,11.35,11.45,-0.40,0,-1474,-3907
11.55,11.6,11.5,11.6,+0.15,0,-1316,6593
11.75,11.9,11.65,11.75,+0.15,0,479,5968
11.8,11.85,11.7,11.8,+0.05,1,-989,4067
11.85,11.85,11.6,11.8, 0.00,99,211,-2340
11.7,11.75,11.5,11.55,-0.25,0,8715,-8536
11.5,11.7,11.5,11.6,+0.05,76,667,7065
11.55,11.6,11.4,11.6, 0.00,0,-365,2937
11.65,11.65,11.45,11.5,-0.10,0,283,-5219
11.5,11.6,11.45,11.55,+0.05,-366,467,4314
11.45,11.5,11.25,11.4,-0.15,0,-2829,5708
11.4,11.6,11.35,11.6,+0.20,0,228,12579
11.65,11.65,11.4,11.5,-0.10,0,1032,-2280
11.4,11.45,11.3,11.35,-0.15,0,-958,-4351
11.25,11.3,11.15,11.3,-0.05,0,490,1877
11.15,11.15,10.85,10.95,-0.35,-2,-1041,-23438
10.8,11.0,10.75,10.85,-0.10,0,942,-22223
10.85,10.9,10.8,10.85, 0.00,0,-607,-6495
10.8,10.95,10.65,10.65,-0.20,5,-724,-16760
10.7,10.8,10.65,10.75,+0.10,-41,578,-11088
